DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
1/1/2017,,,0,0,0,29,47,16
1/2/2017,,,0,0,0,31,52,15
1/3/2017,,,0,0,0,20,32,10
1/4/2017,,,0.1,1.5,0,11,12,4
1/5/2017,,,0.24,2.6,3.9,4,5,-2
1/6/2017,,,0,0,3.1,5,20,-7
1/7/2017,,,0,0,3.1,12,26,2
1/8/2017,,,0,0,2,27,48,12
1/9/2017,,,0,0,1.2,47,62,31
1/10/2017,,,0,0,0,43,52,32
1/11/2017,,,0,0,0,41,56,21
1/12/2017,,,0,0,0,30,40,18
1/13/2017,,,0,0,0,24,39,18
1/14/2017,,,0,0,0,30,42,22
1/15/2017,,,0,0,0,29,35,22
1/16/2017,,,0.2,2.2,0,31,35,27
1/17/2017,,,0,0,2,31,46,17
1/18/2017,,,0,0,1.2,33,52,21
1/19/2017,,,0,0,0,38,54,22
1/20/2017,,,0,0,0,36,45,26
1/21/2017,,,0,0,0,30,42,19
1/22/2017,,,0,0,0,35,47,26
1/23/2017,,,0,0,0,36,54,23
1/24/2017,,,0,0,0,30,32,17
1/25/2017,,,0,0,0,20,30,10
1/26/2017,,,0,0,0,18,31,8
1/27/2017,,,0,0,0,23,40,11
1/28/2017,,,0,0,0,31,50,17
1/29/2017,,,0,0,0,41,61,28
1/30/2017,,,0,0,0,45,63,33
1/31/2017,,,0,0,0,50,61,31
2/1/2017,,,0,0,0,31,31,20
2/2/2017,,,0,0,0,22,26,17
2/3/2017,,,0,0,0,22,38,16
2/4/2017,,,0,0,0,39,60,29
2/5/2017,,,0,0,0,41,58,29
2/6/2017,,,0,0,0,47,61,37
2/7/2017,,,0,0,0,48,62,32
2/8/2017,,,0,0,0,48,58,38
2/9/2017,,,0,0,0,48,68,31
2/10/2017,,,0,0,0,62,80,40
2/11/2017,,,0,0,0,51,56,33
2/12/2017,,,0,0,0,38,49,29
2/13/2017,,,0,0,0,38,48,28
2/14/2017,,,0,0,0,37,49,24
2/15/2017,,,0,0,0,41,67,27
2/16/2017,,,0,0,0,57,75,39
2/17/2017,,,0,0,0,49,66,25
2/18/2017,,,0,0,0,44,67,29
2/19/2017,,,0,0,0,50,64,35
2/20/2017,,,0,0,0,48,63,24
2/21/2017,,,0,0,0,54,73,39
2/22/2017,,,0,0,0,52,57,30
2/23/2017,,,0.16,1.3,0,32,33,18
2/24/2017,,,0.05,0.3,0,20,26,17
2/25/2017,,,0,0,0,24,38,15
2/26/2017,,,0,0,0,27,42,11
2/27/2017,,,0,0,0,33,58,14
2/28/2017,,,0.02,0,0,31,35,20
3/1/2017,,,0,0,0,29,48,14
3/2/2017,,,0,0,0,37,53,19
3/3/2017,,,0,0,0,42,64,25
3/4/2017,,,0,0,0,49,71,32
3/5/2017,,,0,0,0,53,69,42
3/6/2017,,,0,0,0,46,53,24
3/7/2017,,,0,0,0,34,53,18
3/8/2017,,,0,0,0,47,67,21
3/9/2017,,,0,0,0,56,72,33
3/10/2017,,,0,0,0,42,65,26
3/11/2017,,,0.02,0,0,45,48,32
3/12/2017,,,0,0,0,43,61,31
3/13/2017,,,0,0,0,41,57,19
3/14/2017,,,0,0,0,52,69,37
3/15/2017,,,0,0,0,56,77,38
3/16/2017,,,0,0,0,60,76,48
3/17/2017,,,0,0,0,57,71,37
3/18/2017,,,0,0,0,56,81,35
3/19/2017,,,0,0,0,65,80,48
3/20/2017,,,0,0,0,63,77,45
3/21/2017,,,0,0,0,54,70,34
3/22/2017,,,0,0,0,51,71,37
3/23/2017,,,0.08,0,0,60,77,37
3/24/2017,,,0.45,0,0,45,53,31
3/25/2017,,,0,0,0,44,62,28
3/26/2017,,,0,0,0,47,54,35
3/27/2017,,,0,0,0,46,64,30
3/28/2017,,,0.19,0,0,46,46,35
3/29/2017,,,0.04,0,0,41,57,34
3/30/2017,,,0,0,0,47,67,31
3/31/2017,,,0.12,0,0,45,51,32
4/1/2017,,,0.03,0,0,35,41,30
4/2/2017,,,0,0,0,43,63,31
4/3/2017,,,0.08,0,0,48,58,34
4/4/2017,,,0.2,0.1,0,37,42,31
4/5/2017,,,0,0,0,38,56,28
4/6/2017,,,0,0,0,47,66,30
4/7/2017,,,0,0,0,59,76,47
4/8/2017,,,0,0,0,64,77,45
4/9/2017,,,0,0,0,53,59,35
4/10/2017,,,0,0,0,43,58,24
4/11/2017,,,0,0,0,48,70,30
4/12/2017,,,0,0,0,56,74,40
4/13/2017,,,0,0,0,57,79,37
